Fin-dex;id_10WEB.io;PD#PN;Post_Name_English;Nome_do_Post_Brasileirinho;MainSection_Code;URL;Slug_Derived
1;96;PD.AA.000;Welcome!;;PD;https://puredhamma.net/buddha-dhamma-teachings-of-buddha/;buddha-dhamma-teachings-of-buddha
2;890;BD.AA.000;Buddha Dhamma;;BD;https://puredhamma.net/dhamma/;dhamma
3;11660;BD.AA.001;User’s Guide to Pure Dhamma Website;;BD;https://puredhamma.net/dhamma/users-guide-puredhamma-website/;users-guide-puredhamma-website
4;43589;CH.AA.000;Buddhism – In Charts;;CH;https://puredhamma.net/buddhism-in-charts/;buddhism-in-charts
5;43576;CH.AA.002;Buddha Dhamma – Foundation;;CH;https://puredhamma.net/buddhism-in-charts/buddha-dhamma-foundation/;buddha-dhamma-foundation
6;31613;BD.BB.001;Buddha Dhamma – A Scientific Approach;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/;buddha-dhamma-a-scientific-approach
7;31557;BD.BB.002;Introduction – A Scientific Approach to Buddha Dhamma;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/introduction-scientific-approach-buddha-dhamma/;introduction-scientific-approach-buddha-dhamma
8;31638;BD.BB.003;Theories of Our World – Scientific Overview;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/theories-of-our-world-scientific-overview/;theories-of-our-world-scientific-overview
9;31752;BD.BB.004;Mind and Matter – Buddhist Analysis;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/mind-matter-buddhist-analysis/;mind-matter-buddhist-analysis
10;31804;BD.BB.005;Sensual Pleasures – The Hidden Suffering;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/sensual-pleasures-the-hidden-suffering/;sensual-pleasures-the-hidden-suffering
11;31799;BD.BB.006;Kammic Energy Leads to Consciousness;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/kammic-energy-leads-to-consciousness/;kammic-energy-leads-to-consciousness
12;32062;BD.CC.001;Brain and the Gandhabba;;BD;https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/brain-and-the-gandhabba/;brain-and-the-gandhabba
