pdpn,status,summary_path,audio_url,video_url,telegram_url,spotify_url,youtube_url,source_audio_filename,source_video_filename,summary_sha256,audio_sha256,video_sha256,audio_bytes,video_bytes,notes
TL.BB.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/001_TL.BB.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/001_TL.BB.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,264e8d113796de56b29fb35362276ecc453664c735958173b40d15cd9cf164d0,75cbcdfa7d6115969c97f05699a60a1d8adf2d152e2ae14a19e927b48d950190,23567962,55998237,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/002_TL.BB.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/002_TL.BB.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,0ec4aadadc2a550b48009bd76630d6be3e3a16ca278d1e02bd0fd8cabbd36d0d,e21fefaee909e1f7e303d033848dbcd7ba7a1cc9c5a3446e407647ba13c429ce,34416665,65718675,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.004,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/003_TL.BB.004/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/003_TL.BB.004/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,7e8504f9422176b5879517bf3bff096a4b9e9446676adbac7c741e7bce27ccdc,b88e924dd54d6bf3f40bd039e81391f28a14a863176a39270813f3dd0b06f8ca,51926789,38900855,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.005,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/004_TL.BB.005/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/004_TL.BB.005/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,980230b6d6e6c3d241f1a3104cd0b43f3687cbe0760a16943b0ade69ad8a4702,3be21115f4cd48aacce0aa37bcf1f2ada71ac4d6e6fe64ae5d404bbaaada1220,36328948,39929099,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/005_TL.BB.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/005_TL.BB.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,b63242ffd7d7245c8b1dadf2164a9764f1340cf3c329e6f2dfa64e56eae81522,4068c0443b4b9d86eae90d46279fd947b3896569cfa07cdd0f6e74806cad8f94,43338690,57429199,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.007,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/006_TL.BB.007/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/006_TL.BB.007/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,754ce45f79b71369c808e2fa5a886435f6a522f829fcde6796df77119bc859ad,f311b59c63fcb3f187ff086249e6f1d2a56d921794b8da419527a7bf6d9e86d5,47068551,51553203,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.BB.008,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/007_TL.BB.008/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/007_TL.BB.008/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,3dd613e2bfed32e0326b3c7e76f5c427d00af4d491bf5f9be8d94adb16e292fb,df6af3ad7908fb57d4f6fe6468cab6a4d7a97cdc3c7db2ce9f307b453c8d5fc0,37531365,50612839,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/008_TL.CC.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/008_TL.CC.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,3942734c9a9a0a576a54eb326b22a43aeda2075e7f4e62cdb5193336912c374f,db06386c549285f902ca8680af47e890b436d0d6a099f10999a7c69ed2310fba,58923863,68142174,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/009_TL.CC.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/009_TL.CC.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,0dc7caf8f0f0a52330a2149e8886102c4bb2d6e5959c0541b2ef09134198da86,71f7786aea271939ab1414b052e70f7027feda3ff316fea2e054c793052d3401,48718593,61418552,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.004,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/010_TL.CC.004/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/010_TL.CC.004/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,f857cefa748376faf92cc4da0678912a5bbe2fcbae9d5c62217b123ec285c722,dbec4c863f9a3468c20a7838eb799a75e3ea7f8da1008211fa2071dc73cf7e1c,41893453,29122259,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.005,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/011_TL.CC.005/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/011_TL.CC.005/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,305e2ccedd11bde1c7bd1f58f81c1956ad56925966fc399743e2bfe7028b1a6d,4abdf0ca7fd722731a78e4b9302a1ba02a98176943567b0add29ac64607414ba,41152159,63442372,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/012_TL.CC.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/012_TL.CC.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,4baed009884901a8076b868f1c6c684641f2ab9c1edfb0ba0660eeed0a4063eb,9952c12070051c7ac740aa95a732f93f70463fa9533b2927ef5072e0f5338307,51373001,61781922,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.CC.007,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/013_TL.CC.007/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/013_TL.CC.007/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,f0705129edf0da3a3c6fadd933049abf574b1de89967c21dddc22562b7e3dcf9,d13aaef74deb00b60fa21f3f72f53788fa1439c277457b07e9f007513b480e35,45914660,42136980,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
