pdpn,language,order,title,part_label,series_label,audio_url,audio_sha256,audio_bytes,duration_seconds,source_filename,source_youtube_url,review_status,notes
LD.AA.004,pt-BR,01,Dēsana — O Sofrimento Oculto que Todos Nós Podemos Compreender,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/01_LD.AA.004/pt-BR/audio.m4a,020c3b48354b78efc02801305273ad23549dc54bef44f8375fd65e42a530c966,54377009,2271.011,01_LD.AA.004_v1.0 - Dēsana - O Sofrimento Oculto que Todos Nós podemos Compreender.m4a,https://www.youtube.com/watch?v=k9PhJ_2iLko,approved,Portuguese Dēsana audio translation; render pt-BR only; English legacy audio preserved; PDPN corrected before merge
LD.CC.003,pt-BR,02,Dēsana — As 10 Ações Imorais — Dasa Akusala,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/02_LD.CC.003/pt-BR/audio.m4a,a17ff33e606697cca1375db53890afb052c40a80fb3e337f3771d42ef6defe05,57043619,2518.884,02_LD.CC.003_v1.0 - Dēsana - As 10 Ações Imorais - Dasa Akusala.m4a,https://www.youtube.com/watch?v=WsHCR3dV-cI,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.AA.007,pt-BR,03,Dēsana — Sofrimento Nesta Vida — O Papel das Impurezas Mentais,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/03_LD.AA.007/pt-BR/audio.m4a,c954f14857787ad15cd9951c1567a0e5140097f9991d4dabeb02cfe5d791cd69,57739853,2461.508,03_LD.AA.007_v1.0 - Dēsana -Sofrimento Nesta Vida - O Papel das Impurezas Mentais.m4a,https://www.youtube.com/watch?v=BppvP4fSpHU,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.AA.008,pt-BR,04,Dēsana — Satipaṭṭhāna Sutta — Relevância para o Sofrimento Nesta Vida,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/04_LD.AA.008/pt-BR/audio.m4a,ac518b248e7f144d90b8fa5a66f3285456fd24662bc89dfd76f189d255e51966,53699667,2348.798,04_LD.AA.008_v1.0 - Dēsana - Satipaṭṭhāna Sutta - Relevância para o sofrimento nesta vida.m4a,https://www.youtube.com/watch?v=JPi_RXePy6U,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.AA.009,pt-BR,05.1,Dēsana — Como Gati e Kilesa São Incorporados aos Pensamentos — Parte 1/2,Parte 1/2,Como Gati e Kilesa são incorporados aos pensamentos,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/05.1_LD.AA.009/pt-BR/audio.m4a,82c899a4a271982f5a09f80e82f4aaac084eebbe7dbf996495784692bf54d994,38854718,1687.726,05.1_LD.AA.009_v1.0 - Dēsana - Como Gati e Kilesa são Incorporados aos Pensamentos (Parte 1⁄2).m4a,https://www.youtube.com/watch?v=Nk0P9ZU4vVU,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.AA.009,pt-BR,05.2,Dēsana — Como Gati e Kilesa São Incorporados aos Pensamentos — Parte 2/2,Parte 2/2,Como Gati e Kilesa são incorporados aos pensamentos,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/05.2_LD.AA.009/pt-BR/audio.m4a,122e5a60e8b90f4846a6f674840eafb1a203298a542890af8c96b1f5981f3202,74888991,2963.454,05.2_LD.AA.009_v1.0- Dēsana - Como Gati e Kilesa são Incorporados aos Pensamentos (Parte 2⁄2).m4a,https://www.youtube.com/watch?v=til9BDySi7g,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.AA.011,pt-BR,06,Dēsana — Chegando ao Samādhi,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/06_LD.AA.011/pt-BR/audio.m4a,d0d486b99b50115ff6d422d8325ee8d36eb51517eab56cd06f11224a000778b5,51850290,2480.293,06_LD.AA.011_v1.0 - Dēsana - Chegando ao Samadhi .m4a,https://www.youtube.com/watch?v=tLsf1qWPkko,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.DD.002,pt-BR,07,Dēsana — Micchā Diṭṭhi — Conexão com Hetu Phala,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/07_LD.DD.002/pt-BR/audio.m4a,90ab00e32483c51874b0ade509c52a12a7407bfc6f167e5291ff110b03501e46,73873178,2630.456,07_LD.DD.002_v1.0 - Dēsana - Micchā Diṭṭhi - Conexão com Hetu Phala (Causa & Efeito).m4a,https://www.youtube.com/watch?v=uIAEGIkK-uQ,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.DD.003,pt-BR,08,Dēsana — Sofrimento Nesta Vida de Acordo com o Paṭicca Samuppāda I,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/08_LD.DD.003/pt-BR/audio.m4a,cbe1c8e230f23062fa7550c4ffc6c5121770012e607116a8a84f3d555c7c9e38,61571013,2296.948,08_LD.DD.003_v1.0 - Dēsana - Sofrimento nesta vida - de acordo com o Paṭicca Samuppāda I.m4a,https://www.youtube.com/watch?v=0RCHVpIm-hc,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
LD.DD.004,pt-BR,09,Dēsana — Sofrimento Nesta Vida de Acordo com o Paṭicca Samuppāda II,Dēsana única,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/09_LD.DD.004/pt-BR/audio.m4a,41d281a0bbb81fe501e8e693898f0c1bf9ed462e8a6fde74491e574ae62835d0,70443519,2874.823,09_LD.DD.004_v1.0 - Dēsana - Sofrimento nesta vida de acordo com o Paṭicca Samuppāda II.m4a,https://www.youtube.com/watch?v=pitowI02kCY,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
KD.FF.021,pt-BR,10,"Dēsana — Tilakkhaṇa: Nicca, Sukha e Atta — Episódio 1/5",Episódio 1/5,"Tilakkhaṇa — Nicca, Sukha e Atta",https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/long-audio/10_KD.FF.021/pt-BR/audio.m4a,a5d4efc3704865b5a8c207e4993d9ad1c8633affc85e6ab7ae832fd46ae24fb3,82756620,2988.740,"10_KD.FF.021_v1.0 - Dēsana - Tilakkhana - Nicca, Sukha e Atta - (Episódio 1⁄5).m4a",https://www.youtube.com/watch?v=kODXLZEaN5U,approved,Portuguese Dēsana long audio; render pt-BR only; English legacy audio preserved
