"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL"
1;;"PD.AA.000";"PD.AA.0";"1 - PD.AA.0";"PD.A.00";;"PD";"AA";0;"FALSO";"VERDADEIRO";"FALSO";"VERDADEIRO";0;1;1;"VERDADEIRO";"Welcome!";;;;;"FALSO";;;"01 - Welcome";"PD";1;"Home »";"Home »";"Home » Welcome!";;"https://puredhamma.net/buddha-dhamma-teachings-of-buddha/"
2;;"BD.AA.000";"BD.AA.0";"2 - BD.AA.0";"BD.A.00";;"BD";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;2;2;"VERDADEIRO";"Buddha Dhamma";;;;"Buddha Dhamma";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma";"Home » Buddha Dhamma";"Home » Buddha Dhamma";;"https://puredhamma.net/dhamma/"
3;;"BD.AA.001";"BD.AA.1";"3 - BD.AA.1";;;"BD";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;3;3;"VERDADEIRO";"User’s Guide to Pure Dhamma Website";;;;"Guia do usuário do site Pure Dhamma";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma »";"Home » Buddha Dhamma » User’s Guide to Pure Dhamma Website";;"https://puredhamma.net/dhamma/users-guide-puredhamma-website/"
4;;"CH.AA.000";"CH.AA.0";"4 - CH.AA.0";"CH.A.00";;"CH";"AA";0;"VERDADEIRO";"FALSO";"VERDADEIRO";"FALSO";0;4;4;"VERDADEIRO";"Buddhism – In Charts";;;;"Budismo - Em Diagramas";"VERDADEIRO";1;5;"02 - Buddha Dhamma";"CH";1;"Home » Buddhism – In Charts";"Home » Buddhism – In Charts";"Home » Buddhism – In Charts";;"https://puredhamma.net/buddhism-in-charts/"
5;;"CH.AA.002";"CH.AA.2";"5 - CH.AA.2";;;"CH";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";;5;5;"VERDADEIRO";"Buddha Dhamma – Foundation";;;;;"VERDADEIRO";1;2;"02 - Buddha Dhamma";"CH";1;"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts » Buddha Dhamma – Foundation";;"https://puredhamma.net/buddhism-in-charts/buddha-dhamma-foundation/"
6;;"BD.BB.001";"BD.BB.1";"6 - BD.BB.1";;;"BD";"BB";1;"VERDADEIRO";"FALSO";"VERDADEIRO";"FALSO";0;6;6;"VERDADEIRO";"Buddha Dhamma – A Scientific Approach";;;;"Buddha Dhamma - Uma Abordagem Científica";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/"
7;;"BD.BB.002";"BD.BB.2";"7 - BD.BB.2";;;"BD";"BB";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;7;7;"VERDADEIRO";"Introduction – A Scientific Approach to Buddha Dhamma";;;;"Introdução - Uma Abordagem Científica ao Buddha Dhamma";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Introduction – A Scientific Approach to Buddha Dhamma";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/introduction-scientific-approach-buddha-dhamma/"
8;;"BD.BB.003";"BD.BB.3";"8 - BD.BB.3";;;"BD";"BB";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;8;8;"VERDADEIRO";"Theories of Our World – Scientific Overview";;;;"Vou parar por aqui - Melhor revisar os livros inicialmente e depois pensar nos títulos!

Vou conferir somente o #PostNumber";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Theories of Our World – Scientific Overview";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Theories of Our World – Scientific Overview";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/theories-of-our-world-scientific-overview/"
9;;"BD.BB.004";"BD.BB.4";"9 - BD.BB.4";;;"BD";"BB";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;9;9;"VERDADEIRO";"Mind and Matter – Buddhist Analysis";;;;"ok";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Mind and Matter – Buddhist Analysis";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/mind-matter-buddhist-analysis/"
10;;"BD.BB.005";"BD.BB.5";"10 - BD.BB.5";;;"BD";"BB";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;10;10;"VERDADEIRO";"Sensual Pleasures – The Hidden Suffering";;;;"Ok";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Sensual Pleasures – The Hidden Suffering";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/sensual-pleasures-the-hidden-suffering/"
11;;"BD.BB.006";"BD.BB.6";"11 - BD.BB.6";;;"BD";"BB";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;11;11;"VERDADEIRO";"Kammic Energy Leads to Consciousness";;;;"ok";"FALSO";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Kammic Energy Leads to Consciousness";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/kammic-energy-leads-to-consciousness/"
