"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL";"Slug_Derived"
1;96;"PD.AA.000";"PD.AA.000";"1 - PD.AA.000";"PD.A.00";;"PD";"AA";0;"FALSE";"TRUE";"FALSE";"TRUE";0;1;1;"TRUE";"Welcome!";1;"Welcome!";;;"FALSE";;;"01 - Welcome";"PD";1;"Home »";"Home »";"Home » Welcome!";;"https://puredhamma.net/buddha-dhamma-teachings-of-buddha/";"buddha-dhamma-teachings-of-buddha"
2;890;"BD.AA.000";"BD.AA.000";"2 - BD.AA.000";"BD.A.00";;"BD";"AA";0;"TRUE";"TRUE";"FALSE";"FALSE";0;2;2;"TRUE";"Buddha Dhamma";2;"Buddha Dhamma";;"Buddha Dhamma";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma";"Home » Buddha Dhamma";"Home » Buddha Dhamma";;"https://puredhamma.net/dhamma/";"dhamma"
3;11660;"BD.AA.001";"BD.AA.001";"3 - BD.AA.001";;;"BD";"AA";1;"FALSE";"FALSE";"FALSE";"TRUE";0;3;3;"TRUE";"User’s Guide to Pure Dhamma Website";;;;"Guia do usuário do site Pure Dhamma";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma »";"Home » Buddha Dhamma » User’s Guide to Pure Dhamma Website";;"https://puredhamma.net/dhamma/users-guide-puredhamma-website/";"users-guide-puredhamma-website"
4;43589;"CH.AA.000";"CH.AA.000";"4 - CH.AA.000";"CH.A.00";;"CH";"AA";0;"TRUE";"TRUE";"TRUE";"FALSE";0;4;4;"TRUE";"Buddhism – In Charts";23;"Buddhism – In Charts";;"Budismo - Em Diagramas";"TRUE";1;5;"02 - Buddha Dhamma";"CH";1;"Home » Buddhism – In Charts";"Home » Buddhism – In Charts";"Home » Buddhism – In Charts";;"https://puredhamma.net/buddhism-in-charts/";"buddhism-in-charts"
5;43576;"CH.AA.002";"CH.AA.002";"5 - CH.AA.002";;;"CH";"AA";2;"FALSE";"FALSE";"FALSE";"TRUE";;5;5;"TRUE";"Buddha Dhamma – Foundation";;;;;"TRUE";1;2;"02 - Buddha Dhamma";"CH";1;"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts » Buddha Dhamma – Foundation";;"https://puredhamma.net/buddhism-in-charts/buddha-dhamma-foundation/";"buddha-dhamma-foundation"
6;31613;"BD.BB.001";"BD.BB.001";"6 - BD.BB.001";;;"BD";"BB";1;"TRUE";"FALSE";"TRUE";"FALSE";0;6;6;"TRUE";"Buddha Dhamma – A Scientific Approach";;;;"Buddha Dhamma - Uma Abordagem Científica";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/";"buddha-dhamma-a-scientific-approach"
7;31557;"BD.BB.002";"BD.BB.002";"7 - BD.BB.002";;;"BD";"BB";2;"FALSE";"FALSE";"FALSE";"TRUE";1;7;7;"TRUE";"Introduction – A Scientific Approach to Buddha Dhamma";;;;"Introdução - Uma Abordagem Científica ao Buddha Dhamma";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Introduction – A Scientific Approach to Buddha Dhamma";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/introduction-scientific-approach-buddha-dhamma/";"introduction-scientific-approach-buddha-dhamma"
8;31638;"BD.BB.003";"BD.BB.003";"8 - BD.BB.003";;;"BD";"BB";3;"FALSE";"FALSE";"FALSE";"TRUE";1;8;8;"TRUE";"Theories of Our World – Scientific Overview";;;;"Vou parar por aqui - Melhor revisar os livros inicialmente e depois pensar nos títulos!

Vou conferir somente o #PostNumber";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Theories of Our World – Scientific Overview";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Theories of Our World – Scientific Overview";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/theories-of-our-world-scientific-overview/";"theories-of-our-world-scientific-overview"
9;31752;"BD.BB.004";"BD.BB.004";"9 - BD.BB.004";;;"BD";"BB";4;"FALSE";"FALSE";"FALSE";"TRUE";1;9;9;"TRUE";"Mind and Matter – Buddhist Analysis";;;;"ok";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Mind and Matter – Buddhist Analysis";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/mind-matter-buddhist-analysis/";"mind-matter-buddhist-analysis"
10;31804;"BD.BB.005";"BD.BB.005";"10 - BD.BB.005";;;"BD";"BB";5;"FALSE";"FALSE";"FALSE";"TRUE";1;10;10;"TRUE";"Sensual Pleasures – The Hidden Suffering";;;;"Ok";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Sensual Pleasures – The Hidden Suffering";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/sensual-pleasures-the-hidden-suffering/";"sensual-pleasures-the-hidden-suffering"
11;31799;"BD.BB.006";"BD.BB.006";"11 - BD.BB.006";;;"BD";"BB";6;"FALSE";"FALSE";"FALSE";"TRUE";1;11;11;"TRUE";"Kammic Energy Leads to Consciousness";;;;"ok";"FALSE";;;"02 - Buddha Dhamma";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach »";"Home » Buddha Dhamma » Buddha Dhamma – A Scientific Approach » Kammic Energy Leads to Consciousness";;"https://puredhamma.net/dhamma/buddha-dhamma-a-scientific-approach/kammic-energy-leads-to-consciousness/";"kammic-energy-leads-to-consciousness"
