pdpn,axis_url,has_visible_date_top,detected_date_text,has_pt_date_comment,has_source_ref_comment,has_extraction_comment,issue_type,human_note,decision
AB.AA.000,pages/AB.AA.000/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
AB.CC.001,pages/AB.CC.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
AB.DD.001,pages/AB.DD.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
AB.EE.001,pages/AB.EE.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
AB.GG.002,pages/AB.GG.002/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
AB.GG.003,pages/AB.GG.003/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BC.AA.000,pages/BC.AA.000/index.html,false,,false,false,false,missing_visible_date,"Section-introduction page; no top date-like string detected in current output.",review_pending
BC.AA.003,pages/BC.AA.003/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BD.AA.000,pages/BD.AA.000/index.html,false,,false,false,false,missing_visible_date,"Section-introduction page; no top date-like string detected in current output.",review_pending
BD.AA.009,pages/BD.AA.009/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BD.CC.001,pages/BD.CC.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BD.II.001,pages/BD.II.001/index.html,false,,false,false,false,missing_visible_date,"Subsection-introduction style page; no top date-like string detected in current output.",review_pending
BD.II.002,pages/BD.II.002/index.html,false,,false,false,false,missing_visible_date,"Subsection-introduction style page; no top date-like string detected in current output.",review_pending
BM.AA.002,pages/BM.AA.002/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BM.AA.003,pages/BM.AA.003/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BM.BB.001,pages/BM.BB.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
BM.BB.002,pages/BM.BB.002/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
DD.AA.000,pages/DD.AA.000/index.html,false,,false,false,false,missing_visible_date,"Section-introduction page; no top date-like string detected in current output.",review_pending
DP.AA.000,pages/DP.AA.000/index.html,false,,false,false,false,missing_visible_date,"Section-introduction page; no top date-like string detected in current output.",review_pending
DP.AA.001,pages/DP.AA.001/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
DP.AA.002,pages/DP.AA.002/index.html,false,,false,false,false,missing_visible_date,"No date-like string detected at the top of the EN article by the current heuristic.",review_pending
DS.AA.000,pages/DS.AA.000/index.html,false,,false,false,false,missing_visible_date,"Section-introduction page; no top date-like string detected in current output.",review_pending
DS.AA.002,pages/DS.AA.002/index.html,false,,false,false,false,missing_visible_date,"Subsection-introduction style page; no top date-like string detected in current output.",review_pending
TL.EE.011,pages/TL.EE.011/index.html,false,,true,false,true,pt_comment_only,"No visible top date detected in the current EN article; translation/extraction comments exist and need human review.",review_pending
TL.EE.008,pages/TL.EE.008/index.html,true,"July 24, 2022; revised December 14, 2022; February 26, 2025",true,false,true,visible_date_present,"Control row with visible top date and comment metadata present.",review_pending
